"ucl","uel","epl","LaLiga","Bundesliga","SerieA","Ligue1","hours","years","fifa","age","origin","gender","sm","region","marketing","ajax","everton","lyon","arsenal","valencia","schalke","napoli","barcelona","manu","besiktas","chelsea","acmilan","juventus","monaco","feyenoord","liverpool","galatasaray","nice","dortmund","intermilan","leicestercity","wolfsburg","porto","atletico","mancity","montpellier","bayernmunich","realmadrid","tottenham","marseille","roma","villarreal","fenerbahce","psg","benfica","sevilla","juventusS","intermilanS","dortmundS","monacoS","chelseaS","bayernmunichS","schalkeS","barcelonaS","liverpoolS","tottenhamS","atleticoS","mancityS","manuS","realmadridS","ajaxS","napoliS","leicestercityS","wolfsburgS","tc","tcp","ts","tsp"
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","18-21","United States","Male","Daily","Region 3","No Response",1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.9,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","18-21","United States","Female","Daily","Region 4","No Response",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.1,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","18-21","United States","Female","Daily","Region 4","No Response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","18-21","United States","Female","Daily","Region 5","Agree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","18-21","United States","Female","Daily","Region 5","No Response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","22-25","United States","Female","Daily","No Response","No Response",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.6,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","22-25","United States","Female","Daily","Region 2","No Response",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,13.9,1,2.8
"Yes","No","No","No","No","No","No","0 Hours","0 Years","Never","22-25","United States","Male","Daily","Region 3","Disagree",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,22.2,3,8.3
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","22-25","United States","Female","Daily","Region 3","No Response",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.8,1,2.8
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","22-25","United States","Male","Daily","Region 3","No Response",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","22-25","United States","Male","Daily","Region 4","No Response",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","22-25","United States","Male","Daily","Region 4","Disagree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","26-29","United States","Female","Daily","Region 5","Strongly Disagree",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19.4,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","26-29","United States","Female","Daily","Region 5","Agree",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","26-29","United States","Male","Daily","Region 5","Disagree",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.6,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","26-29","United States","Male","Daily","Region 5","No Response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes","No","Yes","Yes","No","No","No","0 Hours","0 Years","Never","30-41","Foreign Country","Male","Daily","Region 2","Agree",1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,22,61.1,6,16.7
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","Foreign Country","Male","Daily","Region 5","Agree",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7,19.4,3,8.3
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Male","Daily","Region 1","Agree",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.8,1,2.8
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Male","Daily","Region 1","Disagree",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.3,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Male","Daily","Region 1","No Response",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Female","Daily","Region 3","No Response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Female","Daily","Region 3","No Response",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Female","Daily","Region 3","Strongly Agree",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Male","Daily","Region 3","Disagree",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Male","Daily","Region 4","Agree",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.9,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Male","Daily","Region 4","Disagree",0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Male","Daily","Region 5","Agree",1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,19,52.8,5,13.9
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","30-41","United States","Female","Daily","Region 5","Agree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0
"No","No","Yes","No","No","No","No","0 Hours","0 Years","Never","42+","United States","Female","Daily","Region 1","Disagree",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.6,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","42+","United States","Female","Daily","Region 3","Strongly Disagree",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.3,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","42+","United States","Female","Daily","Region 5","Agree",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,13.9,1,2.8
"No","No","No","No","Yes","No","No","1-4 Hours","5-6 Years","Never","18-21","Foreign Country","Male","Daily","Region 4","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,35,97.2,10,27.8
"Yes","Yes","No","Yes","Yes","Yes","Yes","1-4 Hours","1-2 Years","Never","18-21","United States","Male","Daily","Region 4","Agree",1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,16,44.4,7,19.4
"Yes","No","Yes","No","No","No","No","1-4 Hours","3-4 Years","Never","18-21","United States","Male","Daily","Region 5","Agree",1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,30,83.3,9,25
"No","No","Yes","No","No","No","No","1-4 Hours","1-2 Years","Never","22-25","United States","Female","Daily","Region 3","Agree",0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,19.4,2,5.6
"Yes","No","No","No","No","No","No","1-4 Hours","3-4 Years","Never","22-25","United States","Male","Daily","Region 4","Disagree",0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47.2,0,0
"Yes","No","No","Yes","No","Yes","No","1-4 Hours","1-2 Years","Never","26-29","United States","Male","Daily","Region 1","Disagree",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,8,22.2,4,11.1
"Yes","No","No","Yes","No","No","No","1-4 Hours","5-6 Years","Never","26-29","United States","Male","Daily","Region 3","Disagree",1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,33.3,1,2.8
"No","Yes","Yes","No","No","No","No","1-4 Hours","6+ Years","Never","26-29","United States","Male","Daily","Region 3","Strongly Agree",1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,20,55.6,4,11.1
"Yes","No","Yes","No","No","No","No","1-4 Hours","3-4 Years","Never","30-41","United States","Male","Daily","Region 2","Agree",0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,33.3,2,5.6
